heliocentric,radial_velocity,std_error
233.71006,30.312397,15.600732
35.80769,24.439846,12.241097
36.78600,18.003230,13.596977
37.75264,9.0925767,17.584700
260.78749,-66.586648,13.349958
262.75371,-27.629341,10.871207
263.79491,-21.045730,11.007512
265.80226,-0.74104444,10.812209
294.74315,-74.579574,15.357584
295.69734,-51.564481,12.963266
350.62327,16.806349,13.011220
351.60676,16.269977,9.0915324
353.60216,-4.2928475,8.5901765
354.60634,-6.7936589,12.314929
355.61560,-3.2801733,8.5819063
356.61148,-17.231176,12.149470
357.59906,-19.040352,10.649180
378.60350,-17.270847,19.026569
379.59298,-43.858960,15.642400
380.56220,-30.520891,14.493446
382.57460,-27.046423,20.405284
386.56258,-28.487618,10.926573
387.56231,-26.998190,12.936785
466.05360,3.3965683,13.360909
467.05760,12.372013,9.7655901
468.05724,12.915083,6.6553356
471.03009,17.532129,8.9606759
473.04523,20.659904,7.4606207
500.02252,-39.916482,9.2900922
501.02859,-41.615184,11.176645
502.00016,-25.027351,23.113470
502.98175,-19.159222,17.360716
503.97202,6.0926844,10.343434
523.85215,-90.164402,15.558627
524.00824,-97.142846,12.791001
524.98231,-91.157353,15.114513
525.88878,-106.34562,9.3332011
526.85004,-105.16613,19.616332
527.01931,-108.16346,10.961876
527.86715,-112.96238,17.851369
528.00436,-114.21742,14.725540
528.84144,-121.68811,14.823121
529.02196,-127.11175,16.644476
529.96656,-114.02065,9.5349669
531.96048,-148.46937,17.771182
532.96885,-100.66964,14.377298
533.86738,-100.98976,17.028970